time,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
140.73,7.264603836551135e-16,1.850770194073825e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.108495058311169e-18,-1.1745175337224216e-29,0.0,0.0,0.0,-2.64253771086146e-17
140.77,7.265983784154781e-16,1.850679135745346e-31,0.0,0.0,0.0,1.7827961329430764e-12,1.0,3.4653989690419293e-18,-1.3096057126566898e-29,0.0,0.0,0.0,-1.800321532351917e-17
140.79,7.266247069261238e-16,1.867407775994851e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.0368758266210408e-18,-1.1195068157337334e-29,0.0,0.0,0.0,3.569795770235889e-18
140.83,7.266957034024412e-16,1.8648696226347418e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.7931417766313196e-18,-1.0485658466161534e-29,0.0,0.0,0.0,2.920957393272951e-19
140.86,7.267226045729952e-16,1.863091759803087e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.5186119053348534e-18,-9.483402414122611e-30,0.0,0.0,0.0,-2.865003874415184e-17
140.89,7.268100471295239e-16,1.8540571030937758e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.4602220249528794e-18,-9.289226795487936e-30,0.0,0.0,0.0,3.965617126871172e-18
140.93,7.267989888778894e-16,1.8520609254724798e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.870092080752102e-18,-7.065612223889108e-30,0.0,0.0,0.0,-2.2781752341830482e-17
140.96,7.26819618474439e-16,1.8518536128550966e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.4345161512811524e-18,-5.4207509108506215e-30,0.0,0.0,0.0,9.940162083276085e-18
140.99,7.26842156738142e-16,1.8515984218285214e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.2378055340784014e-18,-4.6779888184602246e-30,0.0,0.0,0.0,7.466264264400885e-19
141.03,7.270101558875804e-16,1.852261484468765e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.5992119242750167e-18,-6.0440154144940986e-30,0.0,0.0,0.0,-1.9147269959262035e-18
141.06,7.271301496526629e-16,1.8527378821533898e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.0059955428058544e-18,-7.581530201467956e-30,0.0,0.0,0.0,-2.2220815179765674e-17
141.09,7.272524076681756e-16,1.8533036260151744e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.18303277611679e-18,-8.250441344859386e-30,0.0,0.0,0.0,1.2840475812652735e-17
141.13,7.273500487174445e-16,1.8537303505419956e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.6553515613291817e-18,-1.0035430138902971e-29,0.0,0.0,0.0,4.347071154192601e-18
141.16,7.274019484442305e-16,1.8539190745355958e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.751259339675958e-18,-1.0398038679144808e-29,0.0,0.0,0.0,-1.8833246170753866e-17
141.19,7.274355022949247e-16,1.8541053615701532e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.8707798312208272e-18,-1.0849568670644893e-29,0.0,0.0,0.0,2.2446809372737687e-17
141.23,7.274570145855211e-16,1.85420022567332e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.267930155272087e-18,-8.571269044652039e-30,0.0,0.0,0.0,-1.738226459710739e-17
141.26,7.275178499131687e-16,1.854430492708234e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.004952243159529e-18,-7.577564984499145e-30,0.0,0.0,0.0,-2.3417683746254135e-18
141.29,7.275915074107873e-16,1.8547904098234133e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.7565774789213868e-18,-6.638752156587889e-30,0.0,0.0,0.0,-2.3910913901502957e-18
141.33,7.276418565559012e-16,1.8550115931878599e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.549236464955065e-18,-5.855161011361784e-30,0.0,0.0,0.0,2.1655420585116496e-18
141.36,7.276931626174833e-16,1.85520223366737e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.5789267799228661e-18,-5.9675009317721165e-30,0.0,0.0,0.0,2.3408305751308043e-17
141.39,7.276661424625112e-16,1.8551188935290346e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.2781008591854097e-18,-4.830473448691088e-30,0.0,0.0,0.0,-6.0738388514793226e-18
141.43,7.277055475411591e-16,1.8552919132919945e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.3183552225750884e-18,-4.982596881312663e-30,0.0,0.0,0.0,-9.790082094850552e-18
141.46,7.277086486896026e-16,1.8552734770900175e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.0989545306970422e-18,-4.1535625981103646e-30,0.0,0.0,0.0,-6.853313283041464e-19
141.49,7.276362394671291e-16,1.8549896049002953e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,4.0582177747324093e-19,-1.533935827180485e-30,0.0,0.0,0.0,8.23702348694013e-18
141.53,7.276876691595279e-16,1.8552149668252964e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.1041288653777086e-19,-1.1733595855320059e-30,0.0,0.0,0.0,2.315823567433588e-17
141.56,7.277097653772574e-16,1.8552815060265272e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.256912703092726e-19,-8.532974060931687e-31,0.0,0.0,0.0,5.690618380101681e-17
141.59,7.278204889364949e-16,1.855795949577074e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,7.227100211803545e-19,-2.7315079984650386e-30,0.0,0.0,0.0,4.674921656875872e-18
141.63,7.27969921606405e-16,1.8564492643037155e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.230890948445644e-18,-4.6520218815155675e-30,0.0,0.0,0.0,-3.790726261317369e-17
141.66,7.280120960282475e-16,1.856605358745617e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.4108195900816684e-18,-5.332119678838358e-30,0.0,0.0,0.0,-7.895798435477157e-18
141.69,7.280197717071715e-16,1.8566677869895166e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.78128661767487e-18,-6.732072341777278e-30,0.0,0.0,0.0,9.768282315166572e-18
141.73,7.281137895028108e-16,1.8570786001937962e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.9847552672940874e-18,-7.501016851848886e-30,0.0,0.0,0.0,8.128830614451985e-18
141.76,7.28186860573776e-16,1.8573709827885633e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.134584377045513e-18,-8.06735636468285e-30,0.0,0.0,0.0,-1.8466017876581674e-17
141.79,7.282273018935713e-16,1.8575744602835112e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.964226836210686e-18,-7.42342832500344e-30,0.0,0.0,0.0,-1.5501145771723638e-17
141.83,7.283239624126915e-16,1.8579963449628483e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.7402893393701353e-18,-6.577117012470903e-30,0.0,0.0,0.0,2.6381833997139585e-17
141.86,7.283946596107753e-16,1.8582796489747057e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.8402363718396216e-18,-6.954935787759895e-30,0.0,0.0,0.0,-6.944374350337354e-18
141.89,7.285678573278691e-16,1.8590599365913205e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.5840869056001715e-18,-9.765995714027553e-30,0.0,0.0,0.0,1.4275572863010915e-17
141.93,7.286692445402398e-16,1.8595020204081498e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.7113738346500493e-18,-1.0247035401981096e-29,0.0,0.0,0.0,-2.4966876393441497e-17
141.96,7.286930171690871e-16,1.8595822385300837e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.521560317716012e-18,-9.52978273073473e-30,0.0,0.0,0.0,2.0813235928922333e-17
141.99,7.286457500295208e-16,1.8594004955705257e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.1554752991000832e-18,-8.146172118785627e-30,0.0,0.0,0.0,3.48636876597919e-17
142.03,7.287651201068875e-16,1.8599197391349747e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.1856968271843564e-18,-8.260381388227757e-30,0.0,0.0,0.0,5.650341619476628e-17
142.06,7.288192042871047e-16,1.8601328242852546e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.110176997363773e-18,-7.975064132517467e-30,0.0,0.0,0.0,3.3844800762529816e-17
142.09,7.28836361178235e-16,1.8602296606492728e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.4838852377058899e-18,-5.608083946249806e-30,0.0,0.0,0.0,-4.788671243794355e-18
142.13,7.288786214927969e-16,1.8604132859727783e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.1798986240828626e-18,-4.459251708888475e-30,0.0,0.0,0.0,-1.5586696281826973e-17
142.16,7.288893610282131e-16,1.8604392927186645e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.1498158946710068e-18,-4.345643890905118e-30,0.0,0.0,0.0,2.954813940024164e-17
142.19,7.28915480377102e-16,1.8605736522263148e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.3720018854172102e-18,-5.1852440816943214e-30,0.0,0.0,0.0,-1.2281033570052543e-17
142.23,7.28999089744783e-16,1.860936415784561e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.2479763536525769e-18,-4.7165220685545874e-30,0.0,0.0,0.0,-2.2231572162158752e-17
